A,B,C,D,E,F,G
9.671601663244466,3.097307744237957,-4.400873373856651,1.6345575297662702,-2.650289895758474,-5.04244396474359,7.960960984040993
-1.0184077306419288,-1.8101047638866672,-9.81251196054077,-4.175393473196728,4.935319887194588,6.661768635883052,-3.0872280836475174
0.3593737019044289,-10.277720790044198,-10.016380103487972,-6.49193150677178,9.536205568955374,4.160348755975584,0.47612880949849834
0.6822116630333352,-0.6326085311337386,-9.429855807147904,-4.722795401751109,3.4236634062260745,6.621094793686928,-2.690989106271722
-0.6744994037673704,-7.106457538456602,-5.068578786778689,-5.420078893459524,10.398393211409303,-0.5105570639957918,2.8167512473627605
6.059373799491388,6.579370383325072,-8.265401971240815,2.125718416632863,-3.6306610665337034,-9.333418085450322,7.705247633468378
-0.5157887601843407,2.9615264017747363,-9.016358791199682,-5.455982487685993,0.010926374761938806,6.377974243915935,-4.66324661519504
9.27476014676393,-5.710465256165165,-8.77479112898865,0.0006021656899881656,4.3385195762382605,-1.6890328274456126,3.868777516943554
8.765524414475609,-5.438382824897203,-7.686119547110449,1.7841664287972034,4.63079407217964,-7.278761770797423,4.666144418376472
7.401555691102002,3.9724224662643994,-4.4472500159139114,1.138859798834123,-1.8668054447837301,-6.219930313464461,5.401491794833403
7.721869932461009,2.620042575341627,-9.311922647321374,0.931770618604518,-0.8270122223888685,-5.622687819087649,3.76248238659342
7.853146508750136,-4.119464498919824,-9.492995723851633,0.6997684161939628,4.685823293902646,-2.772907248499567,4.286438772525219
0.12431018049788062,-10.145541026091355,-7.8947196041088405,-7.789193824576303,7.738962750150376,0.9583397609602057,1.888562133902997
2.685149656119047,-8.882472627141697,-5.155746700309778,-3.015817747368879,10.995855623608335,0.6160563902814218,5.4704236934505825
7.99902268579525,-5.073059136904385,-11.16470191337662,-0.16690157966171615,2.854957721161707,-3.938522111228814,3.268253808280271
7.646267088773071,4.821181690489149,-5.306642986305037,1.4107263430171153,-3.799096424825753,-3.5747294137087424,7.275841102375025
3.933840706984751,0.14291115194020199,-8.171079635480755,-8.76996860756589,2.027514226054355,7.953517987285997,-3.9390554949687617
3.749031676418813,-8.443070359465294,-6.977179295063948,-8.369001843078655,11.286731927094229,-0.2935951615981698,3.0841460956934497
